(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 1, Left, 846.2426, 851.08, 10.28986, 0, 377, 848.066, 0.9785773, 848.6649, 0.3787004, 850.1681, 0.4944139, 844.0709, 1.682676, 844.0709, 3.474392, 850.572, 2.459)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 2, Right, 853.1188, 858.36, 12.08979, 1, 458, 851.1729, 2.862062, 851.1729, 5.549, 858.2694, 3.447575, 854.1628, 0.5743886, 855.263, 0.2660618, 857.3649, 0.5312423)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 3, Left, 860.5382, 864.98, 13.4384, 1, 315, 861.4711, 0.3338891, 862.8636, 0.3762158, 863.963, 0.9327834, 858.3675, 2.547822, 858.3675, 5.233679, 864.8676, 2.607892)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 4, Right, 867.0244, 870.64, 9.030092, 1, 295, 865.065, 1.962498, 865.065, 3.756514, 870.3662, 2.218697, 867.6649, 0.7615716, 868.9734, 0.2511076, 869.8651, 0.3327096)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 5, Left, 872.8152, 878.9, 15.54049, 1, 310, 874.166, 0.4686882, 875.8647, 0.5432557, 877.4657, 0.9842226, 870.68, 3.485886, 870.68, 7.121193, 878.8711, 4.253963)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 6, Right, 880.9432, 886.98, 15.54007, 1, 392, 878.9717, 3.812007, 878.9717, 7.447913, 886.9717, 4.30774, 882.266, 0.3180883, 884.0623, 0.3731831, 886.067, 0.684477)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 7, Left, 889.1561, 897.1, 18.10609, 1, 403, 891.0639, 1.054635, 892.7624, 0.5177467, 894.3636, 0.3870456, 887.0716, 3.485886, 896.6604, 6.922469, 896.6604, 2.91586)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 8, Left, 899.276, 906.62, 18.34124, 1, 304, 900.5712, 1.06478, 902.9662, 0.4918293, 905.2631, 1.47104, 897.18, 3.485886, 897.18, 7.121193, 906.572, 3.986408)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 9, Right, 909.5074, 915.28, 12.91434, 0, 426, 906.68, 2.862062, 906.68, 5.549, 915.2713, 3.41119, 910.4682, 0.6780154, 912.4735, 0.4102752, 914.3668, 0.5654419)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 10, Right, 917.316, 923.66, 15.63842, 1, 445, 915.3769, 3.812007, 915.3769, 7.447913, 923.5677, 4.598394, 918.6673, 0.2832513, 920.3661, 0.3396285, 922.4678, 0.808809)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 11, Right, 925.6962, 928.36, 7.417347, 1, 248, 923.6653, 1.962498, 923.6653, 3.756514, 928.2724, 2.345151, 926.2673, 0.3851053, 927.061, 0.5124317, 927.8685, 0.2965481)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 12, Right, 930.4013, 933.12, 7.747228, 1, 273, 928.3699, 1.962498, 928.3699, 3.756514, 933.0611, 2.18153, 930.9725, 0.5471269, 931.9607, 0.5367231, 932.6712, 0.3967845)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 13, Right, 935.1623, 938.94, 11.63209, 0, 301, 933.18, 2.862062, 933.18, 5.549, 938.8662, 3.632179, 936.1655, 0.6498064, 937.3623, 0.3325921, 938.3643, 0.5049511)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 14, Left, 941.1186, 947.16, 13.40585, 1, 437, 942.0659, 0.4541355, 944.0708, 0.3238893, 945.9648, 0.2672944, 938.98, 2.547822, 938.98, 5.233679, 947.0648, 3.349608)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 15, Left, 949.3312, 953.44, 9.292068, 1, 324, 949.8611, 0.8409443, 951.3651, 0.2736571, 952.5624, 0.3237104, 947.1621, 1.682676, 947.1621, 3.474392, 953.0638, 2.567811)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 16, Left, 955.6238, 960.48, 13.77631, 0, 213, 956.5712, 1.033295, 958.0609, 0.5000442, 959.8707, 1.469785, 953.48, 2.547822, 953.48, 5.233679, 960.4691, 3.43998)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 17, Right, 962.5138, 968.04, 15.276, 1, 345, 960.58, 3.812007, 960.58, 7.447913, 967.9721, 4.564642, 963.8651, 0.3990777, 965.4665, 0.2837578, 967.0673, 0.7014119)
(9/5/2024 7:04:10 PM, 6, LS2, 1, Eye_D, 18, Left, 970.2112, 975.44, 9.634341, 1, 416, 971.368, 0.3581505, 972.8721, 0.3457702, 974.5687, 0.4230875, 968.08, 1.682676, 968.08, 3.474392, 975.2654, 2.223648)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 0, Left, 1214.997, 1219.84, 9.512111, 0, 303, 1216.251, 0.8253397, 1217.853, 0.2819262, 1218.953, 0.3096387, 1213.26, 1.682676, 1213.26, 3.474392, 1219.746, 2.54349)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 1, Right, 1221.876, 1225.88, 9.919639, 0, 248, 1219.844, 1.962498, 1219.844, 3.756514, 1225.844, 2.3703, 1222.447, 0.9058154, 1224.744, 0.649865, 1225.343, 0.4043364)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 2, Left, 1228.057, 1232.48, 12.37026, 1, 366, 1229.045, 0.8504231, 1230.744, 0.3046936, 1231.746, 0.2771732, 1225.944, 2.547822, 1225.944, 5.233679, 1232.442, 3.49745)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 3, Left, 1234.655, 1240.76, 16.05891, 1, 447, 1236.048, 0.5000572, 1237.55, 0.285935, 1239.541, 0.6669646, 1232.541, 3.485886, 1232.541, 7.121193, 1240.752, 4.470475)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 4, Left, 1242.938, 1249.16, 16.26647, 1, 482, 1244.344, 0.5748565, 1245.848, 0.303251, 1248.047, 0.7612337, 1240.852, 3.485886, 1240.852, 7.121193, 1249.149, 4.40777)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 5, Right, 1251.192, 1254.46, 9.908224, 0, 333, 1249.247, 1.962498, 1249.247, 3.756514, 1254.45, 2.307312, 1251.749, 0.8801339, 1253.35, 0.5824482, 1253.949, 0.3066455)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 6, Left, 1256.635, 1260.4, 9.76526, 0, 325, 1257.15, 0.9618168, 1258.751, 0.2600577, 1259.851, 0.5714778, 1254.548, 1.682676, 1254.548, 3.474392, 1260.353, 2.465367)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 7, Left, 1262.579, 1267.02, 12.10922, 1, 329, 1263.554, 0.7701427, 1265.253, 0.2845443, 1266.144, 0.2958948, 1260.46, 2.547822, 1260.46, 5.233679, 1266.951, 3.464177)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 8, Left, 1269.191, 1272.7, 9.557621, 1, 313, 1269.747, 0.9854319, 1271.446, 0.4408773, 1272.142, 0.2870809, 1267.06, 1.682676, 1267.06, 3.474392, 1272.643, 2.387694)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 9, Left, 1274.883, 1279.74, 13.10001, 1, 342, 1275.844, 1.003834, 1277.947, 0.2773522, 1278.949, 0.2714411, 1272.76, 2.547822, 1272.76, 5.233679, 1279.645, 3.436576)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 10, Right, 1281.773, 1287.48, 13.41292, 0, 338, 1279.743, 2.862062, 1279.743, 5.549, 1287.441, 3.508363, 1282.748, 0.7033265, 1284.545, 0.4822631, 1286.549, 0.8704605)
(9/5/2024 7:10:25 PM, 6, LS2, 1, Eye_NoD, 11, Right, 1289.513, 1292.74, 8.52983, 1, 304, 1287.56, 1.962498, 1287.56, 3.756514, 1292.647, 2.264075, 1290.042, 0.9399453, 1291.548, 0.5317444, 1292.145, 0.3519956)
